StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1#1_1,Q1#1_2,Q1#2_1,Q1#2_2,Q1#3_1,Q1#3_2,Q2#1_1,Q2#1_2,Q2#2_1,Q2#2_2,Q2#3_1,Q2#3_2,Q3#1_1,Q3#1_2,Q3#2_1,Q3#2_2,Q3#3_1,Q3#3_2,Q4#1_1,Q4#1_2,Q4#2_1,Q4#2_2,Q4#3_1,Q4#3_2,Q5#1_1,Q5#1_2,Q5#2_1,Q5#2_2,Q5#3_1,Q5#3_2,Q6#1_1,Q6#1_2,Q6#2_1,Q6#2_2,Q6#3_1,Q6#3_2,Q7#1_1,Q7#1_2,Q7#2_1,Q7#2_2,Q7#3_1,Q7#3_2,Q8#1_1,Q8#1_2,Q8#2_1,Q8#2_2,Q8#3_1,Q8#3_2,Q9#1_1,Q9#1_2,Q9#2_1,Q9#2_2,Q9#3_1,Q9#3_2,Q10#1_1,Q10#1_2,Q10#2_1,Q10#2_2,Q10#3_1,Q10#3_2,Q11#1_1,Q11#1_2,Q11#2_1,Q11#2_2,Q11#3_1,Q11#3_2,Q12#1_1,Q12#1_2,Q12#2_1,Q12#2_2,Q12#3_1,Q12#3_2,Q13#1_1,Q13#1_2,Q13#2_1,Q13#2_2,Q13#3_1,Q13#3_2,Q14#1_1,Q14#1_2,Q14#2_1,Q14#2_2,Q14#3_1,Q14#3_2,Q15#1_1,Q15#1_2,Q15#2_1,Q15#2_2,Q15#3_1,Q15#3_2,Q16#1_1,Q16#1_2,Q16#2_1,Q16#2_2,Q16#3_1,Q16#3_2,Q17#1_1,Q17#1_2,Q17#2_1,Q17#2_2,Q17#3_1,Q17#3_2,Q18#1_1,Q18#1_2,Q18#2_1,Q18#2_2,Q18#3_1,Q18#3_2,Q19#1_1,Q19#1_2,Q19#2_1,Q19#2_2,Q19#3_1,Q19#3_2,Q20#1_1,Q20#1_2,Q20#2_1,Q20#2_2,Q20#3_1,Q20#3_2,Q21#1_1,Q21#1_2,Q21#2_1,Q21#2_2,Q21#3_1,Q21#3_2,Q22#1_1,Q22#1_2,Q22#2_1,Q22#2_2,Q22#3_1,Q22#3_2,Q23#1_1,Q23#1_2,Q23#2_1,Q23#2_2,Q23#3_1,Q23#3_2,Q24#1_1,Q24#1_2,Q24#2_1,Q24#2_2,Q24#3_1,Q24#3_2,Q25#1_1,Q25#1_2,Q25#2_1,Q25#2_2,Q25#3_1,Q25#3_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"  - what body of water is located in sydney , australia under harbour bridge ? - Relevance","  - what body of water is located in sydney , australia under harbour bridge ? - Naturalness","  - what is the body of water under the sydney harbour bridge? - Relevance","  - what is the body of water under the sydney harbour bridge? - Naturalness","  - what is the body of water under the body of water under the sydney harbour bridge ? - Relevance","  - what is the body of water under the body of water under the sydney harbour bridge ? - Naturalness","  - what character that is the father of chris griffin does seth macfarlane voice ? - Relevance","  - what character that is the father of chris griffin does seth macfarlane voice ? - Naturalness","  - what character does seth macfarlane play in family guy? - Relevance","  - what character does seth macfarlane play in family guy? - Naturalness","  - what is the name of seth macfarlane ' s parent who plays seth macfarlane ? - Relevance","  - what is the name of seth macfarlane ' s parent who plays seth macfarlane ? - Naturalness","  - what continent includes the country with the national anthem hatikvah ? - Relevance","  - what continent includes the country with the national anthem hatikvah ? - Naturalness","  - the country that has the national anthem hatikvah is located in what continent? - Relevance","  - the country that has the national anthem hatikvah is located in what continent? - Naturalness","  - what continent is the country with national anthem hatikvah located ? - Relevance","  - what continent is the country with national anthem hatikvah located ? - Naturalness","  - what is the most recent harry potter film in the series to be released ? - Relevance","  - what is the most recent harry potter film in the series to be released ? - Naturalness","  - which of the harry potter movies was released latest? - Relevance","  - which of the harry potter movies was released latest? - Naturalness","  - what is the name of the harry potter film series movies were released last ? - Relevance","  - what is the name of the harry potter film series movies were released last ? - Naturalness","  - what is the capital of where fictional character sunstreak lived ? - Relevance","  - what is the capital of where fictional character sunstreak lived ? - Naturalness","  - what is the capital of the state where the fictional character sunstreak lived? - Relevance","  - what is the capital of the state where the fictional character sunstreak lived? - Naturalness","  - what is the capital city of the state where the fictional character sunstreak lived ? - Relevance","  - what is the capital city of the state where the fictional character sunstreak lived ? - Naturalness","  - where is the author who wrote the audacity of hope from ? - Relevance","  - where is the author who wrote the audacity of hope from ? - Naturalness","  - what country is the author of  the audacity of hope '' from? - Relevance","  - what country is the author of  the audacity of hope '' from? - Naturalness","  - what is the nationality of the author who published editions for `` the audacity of hope '' ? - Relevance","  - what is the nationality of the author who published editions for `` the audacity of hope '' ? - Naturalness","  - what attraction in salt lake city , utah has the most visitors per year ? - Relevance","  - what attraction in salt lake city , utah has the most visitors per year ? - Naturalness","  - what is the most popular attraction in salt lake city, nc? - Relevance","  - what is the most popular attraction in salt lake city, nc? - Naturalness","  - what is there to do in salt lake city , and has the largest number of ? - Relevance","  - what is there to do in salt lake city , and has the largest number of ? - Naturalness","  - what building in dubai has the largest amount of floors ? - Relevance","  - what building in dubai has the largest amount of floors ? - Naturalness","  - what is the most popular attraction in dubai that has more than 163 floors? - Relevance","  - what is the most popular attraction in dubai that has more than 163 floors? - Naturalness","  - what is there to do in dubai has the floors floors floors ? - Relevance","  - what is there to do in dubai has the floors floors floors ? - Naturalness","  - what time zone is in the area that was affected by cyclone hurricane iwa ? - Relevance","  - what time zone is in the area that was affected by cyclone hurricane iwa ? - Naturalness","  - what is the time zone of the affected area of the cyclone iwa? - Relevance","  - what is the time zone of the affected area of the cyclone iwa? - Naturalness","  - what is the time zone of the area affected by hurricane iwa ? - Relevance","  - what is the time zone of the area affected by hurricane iwa ? - Naturalness","  - what is the name of the coach for the team that plays at m & t bank stadium ? - Relevance","  - what is the name of the coach for the team that plays at m & t bank stadium ? - Naturalness","  - who is the coach of the team that plays in m & t bank stadium? - Relevance","  - who is the coach of the team that plays in m & t bank stadium? - Naturalness","  - who is the coach of the sports team that plays in m & t bank stadium ? - Relevance","  - who is the coach of the sports team that plays in m & t bank stadium ? - Naturalness","  - what is the main language spoken in the country that makes red stripe beer ? - Relevance","  - what is the main language spoken in the country that makes red stripe beer ? - Naturalness","  - what is the official language of the country where red stripe beer is produced? - Relevance","  - what is the official language of the country where red stripe beer is produced? - Naturalness","  - what is the official language of the country where red stripe beer is made ? - Relevance","  - what is the official language of the country where red stripe beer is made ? - Naturalness","  - who is the person with strabismus condition that influenced whitman 's peotry ? - Relevance","  - who is the person with strabismus condition that influenced whitman 's peotry ? - Naturalness","  - who was influenced by walton whitman and had a medical condition called strabismus? - Relevance","  - who was influenced by walton whitman and had a medical condition called strabismus? - Naturalness","  - which person who influenced walt whitman and influenced walt whitman ? - Relevance","  - which person who influenced walt whitman and influenced walt whitman ? - Naturalness","  - to whom does the government of egypt export goods ? - Relevance","  - to whom does the government of egypt export goods ? - Naturalness","  - what country does the government of egypt export to? - Relevance","  - what country does the government of egypt export to? - Naturalness","  - which countries does the government of egypt egypt ? - Relevance","  - which countries does the government of egypt egypt ? - Naturalness","  - in the country where the breed drever was originated what if the official currency that is used ? - Relevance","  - in the country where the breed drever was originated what if the official currency that is used ? - Naturalness","  - what currency is used in the country where the drever breed originated? - Relevance","  - what currency is used in the country where the drever breed originated? - Naturalness","  - what currency is used in the country where the drever breed originated ? - Relevance","  - what currency is used in the country where the drever breed originated ? - Naturalness","  - of the countries in the world that speak german , which exports to angola ? - Relevance","  - of the countries in the world that speak german , which exports to angola ? - Naturalness","  - what country exports to angola and speaks south african? - Relevance","  - what country exports to angola and speaks south african? - Naturalness","  - which german speaking country exports to angola ? - Relevance","  - which german speaking country exports to angola ? - Naturalness","  - where do i go for vacation in the location that appointed jeb bush to governmental position ? - Relevance","  - where do i go for vacation in the location that appointed jeb bush to governmental position ? - Naturalness","  - what is the governmental jurisdiction that has a governmental office holder named jeb bush? - Relevance","  - what is the governmental jurisdiction that has a governmental office holder named jeb bush? - Naturalness","  - the location that appointed jeb bush to governmental position to do in florida ? - Relevance","  - the location that appointed jeb bush to governmental position to do in florida ? - Naturalness","  - what type of currency has an official ceiba pentandra symbol ? - Relevance","  - what type of currency has an official ceiba pentandra symbol ? - Naturalness","  - what currency is used in the country with official symbol of ceiba pentandra? - Relevance","  - what currency is used in the country with official symbol of ceiba pentandra? - Naturalness","  - what currency is used in the country with official symbol of ceiba pentandra ? - Relevance","  - what currency is used in the country with official symbol of ceiba pentandra ? - Naturalness","  - what is the mascot of the organization called yale center for british art ? - Relevance","  - what is the mascot of the organization called yale center for british art ? - Naturalness","  - what is the mascot of the yale center for british art? - Relevance","  - what is the mascot of the yale center for british art? - Naturalness","  - what is the mascot of the yale center for british art yale center for british art ? - Relevance","  - what is the mascot of the yale center for british art yale center for british art ? - Naturalness","  - in the movie that feature a character named naboo courier , who is the actor that plays the role of darth vader ? - Relevance","  - in the movie that feature a character named naboo courier , who is the actor that plays the role of darth vader ? - Naturalness","  - who played darth vader in the film with a character named san diego? - Relevance","  - who played darth vader in the film with a character named san diego? - Naturalness","  - who played darth vader in the film that has a character named engineer ? - Relevance","  - who played darth vader in the film that has a character named engineer ? - Naturalness","  - which world series is the most recent one won by the baseball club that earned the 1970 world series championship ? - Relevance","  - which world series is the most recent one won by the baseball club that earned the 1970 world series championship ? - Naturalness","  - what was the last world series won by the team that won the 1970 world series? - Relevance","  - what was the last world series won by the team that won the 1970 world series? - Naturalness","  - when was the last time the team that won the 1970 world series championship won the world series ? - Relevance","  - when was the last time the team that won the 1970 world series championship won the world series ? - Naturalness","  - what currency is used where `` the proud and profane '' takes place ? - Relevance","  - what currency is used where `` the proud and profane '' takes place ? - Naturalness","  - what currency is used in the location where the movie  the proud and profane '' takes place? - Relevance","  - what currency is used in the location where the movie  the proud and profane '' takes place? - Naturalness","  - what currency is used in the location where the movie `` the proud and profane '' takes place ? - Relevance","  - what currency is used in the location where the movie `` the proud and profane '' takes place ? - Naturalness","  - what currency is used in the location where the movie `` the proud and profane '' takes place ? - Relevance","  - what currency is used in the location where the movie `` the proud and profane '' takes place ? - Naturalness","  - what language is spoken in japan and the tortall